data/zheng/processed_interactions_p2/pro23_acf_p2_logs.csv,0.6310679611650486,defaultdict(None, {'modify-1': (19, 0.21052631578947367), 'same': (61, 1.0), 'modify-2': (20, 0.0), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p2/pro21_ade_p2_logs.csv,0.6410256410256411,defaultdict(None, {'same': (50, 1.0), 'modify-1': (20, 0.0), 'modify-2': (6, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro17_ace_p2_logs.csv,0.5913978494623656,defaultdict(None, {'same': (65, 0.8), 'modify-1': (26, 0.11538461538461539), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu37_adf_p2_logs.csv,0.6629213483146067,defaultdict(None, {'modify-1': (19, 0.15789473684210525), 'same': (56, 0.9285714285714286), 'modify-2': (14, 0.2857142857142857)})
data/zheng/processed_interactions_p2/stu36_adf_p2_logs.csv,0.6,defaultdict(None, {'modify-1': (6, 0.0), 'same': (17, 0.8823529411764706), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu29_ade_p2_logs.csv,0.65,defaultdict(None, {'same': (13, 1.0), 'modify-1': (5, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu31_ade_p2_logs.csv,0.6153846153846154,defaultdict(None, {'same': (24, 1.0), 'modify-1': (13, 0.0), 'modify-3': (1, 0.0), 'modify-2': (1, 0.0)})
data/zheng/processed_interactions_p2/stu38_acf_p2_logs.csv,0.6666666666666666,defaultdict(None, {'same': (25, 0.96), 'modify-1': (7, 0.14285714285714285), 'modify-2': (10, 0.3)})
data/zheng/processed_interactions_p2/stu39_adf_p2_logs.csv,0.43333333333333335,defaultdict(None, {'modify-1': (29, 0.0), 'same': (26, 1.0), 'modify-2': (5, 0.0)})
data/zheng/processed_interactions_p2/stu3_acf_p2_logs.csv,0.68,defaultdict(None, {'same': (51, 1.0), 'modify-2': (16, 0.0), 'modify-3': (7, 0.0), 'modify-1': (1, 0.0)})
data/zheng/processed_interactions_p2/stu6_acf_p2_logs.csv,0.5151515151515151,defaultdict(None, {'modify-1': (16, 0.0625), 'same': (33, 1.0), 'modify-2': (16, 0.0), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p2/stu4_ade_p2_logs.csv,0.7297297297297297,defaultdict(None, {'same': (27, 1.0), 'modify-1': (8, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu7_ade_p2_logs.csv,0.45,defaultdict(None, {'same': (20, 0.75), 'modify-1': (20, 0.15)})
