Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
QLearn,U_16,0.05,0.8,0.001,0.05,0.5833333333333334,"[0.5, 0.5714285714285714, 0.6666666666666666]"
QLearn,U_16,0.1,0.9,0.1,0.5,0.6666666666666666,"[0.5, 0.6666666666666666, 1.0]"
QLearn,U_17,0.1,0.05,0.001,0.2,0.3588235294117647,"[0.75, 0.19791666666666666, 0.3]"
QLearn,U_17,0.1,0.1,0.001,0.5,0.6455696202531646,"[0.8, 0.6136363636363636, 0.5333333333333333]"
QLearn,U_17,0.05,0.2,0.5,0.8,0.6,"[0.7894736842105263, 0.5384615384615384, 0.5]"
QLearn,U_17,0.1,0.3,0.5,0.9,0.6557377049180327,"[0.5789473684210527, 0.7142857142857143, 0.5714285714285714]"
QLearn,U_17,0.05,0.4,0.1,0.2,0.7358490566037735,"[0.8125, 0.7666666666666667, 0.42857142857142855]"
QLearn,U_17,0.1,0.5,0.1,0.1,0.7272727272727273,"[0.8571428571428571, 0.75, 0.3333333333333333]"
QLearn,U_17,0.1,0.6,0.1,0.8,0.7428571428571429,"[0.8571428571428571, 0.625, 0.8]"
QLearn,U_17,0.1,0.7,0.5,0.8,0.7037037037037037,"[0.8461538461538461, 0.5555555555555556, 0.6]"
QLearn,U_17,0.1,0.8,0.5,0.05,0.7222222222222222,"[0.875, 0.6666666666666666, 0.5]"
QLearn,U_17,0.05,0.9,0.1,0.1,0.7777777777777778,"[1.0, 0.75, 0.75]"
QLearn,U_18,0.01,0.05,0.0001,0.05,0.25,"[0.8, 0.1724137931034483, 0.1]"
QLearn,U_18,0.01,0.1,0.001,0.9,0.48717948717948717,"[0.14285714285714285, 0.15384615384615385, 0.8421052631578947]"
QLearn,U_18,0.1,0.2,0.1,0.05,0.5428571428571428,"[0.2857142857142857, 0.7, 0.5555555555555556]"
QLearn,U_18,0.1,0.3,0.0001,0.2,0.22580645161290322,"[0.14285714285714285, 0.6666666666666666, 0.1111111111111111]"
QLearn,U_18,0.1,0.4,0.01,0.9,0.6153846153846154,"[0.14285714285714285, 0.5, 0.9230769230769231]"
QLearn,U_18,0.1,0.5,0.1,0.05,0.6363636363636364,"[0.2857142857142857, 0.6666666666666666, 0.8888888888888888]"
QLearn,U_18,0.1,0.6,0.5,0.5,0.5,"[0.2857142857142857, 0.5, 0.8]"
QLearn,U_18,0.1,0.7,0.01,0.05,0.46153846153846156,"[0.2857142857142857, 0.5, 1.0]"
QLearn,U_18,0.1,0.8,0.1,0.05,0.7777777777777778,"[0.75, 0.6666666666666666, 1.0]"
QLearn,U_18,0.1,0.9,0.1,0.1,0.8,"[0, 0.6666666666666666, 1.0]"
QLearn,U_19,0.1,0.05,0.01,0.1,0.4263565891472868,"[0.7209302325581395, 0.14814814814814814, 0.5]"
QLearn,U_19,0.01,0.1,0.5,0.1,0.5666666666666667,"[0.7777777777777778, 0.6538461538461539, 0.1875]"
QLearn,U_19,0.1,0.2,0.01,0.2,0.24528301886792453,"[0.6363636363636364, 0.11538461538461539, 0.1875]"
QLearn,U_19,0.1,0.3,0.0001,0.9,0.23404255319148937,"[0.6666666666666666, 0.13043478260869565, 0.13333333333333333]"
QLearn,U_19,0.01,0.4,0.1,0.05,0.5,"[0.75, 0.7058823529411765, 0.13333333333333333]"
QLearn,U_19,0.1,0.5,0.5,0.1,0.6060606060606061,"[0.5, 0.6923076923076923, 0.5714285714285714]"
QLearn,U_19,0.01,0.6,0.1,0.05,0.37037037037037035,"[0.6666666666666666, 0.7, 0.07142857142857142]"
QLearn,U_19,0.1,0.7,0.5,0.8,0.55,"[0.6666666666666666, 0.5, 0.5384615384615384]"
QLearn,U_19,0.1,0.8,0.5,0.5,0.6428571428571429,"[0, 0.0, 0.6923076923076923]"
QLearn,U_19,0.05,0.9,0.5,0.05,1.0,"[0, 0, 1.0]"
QLearn,U_2,0.1,0.05,0.1,0.05,0.6557377049180327,"[0.425, 0.7272727272727273, 0.5357142857142857]"
QLearn,U_2,0.1,0.1,0.0001,0.5,0.6283185840707964,"[0.42105263157894735, 0.7108433734939759, 0.36363636363636365]"
QLearn,U_2,0.1,0.2,0.001,0.05,0.63,"[0.5, 0.7066666666666667, 0.2727272727272727]"
QLearn,U_2,0.1,0.3,0.1,0.8,0.7159090909090909,"[0.6153846153846154, 0.7538461538461538, 0.6]"
QLearn,U_2,0.1,0.4,0.1,0.5,0.68,"[0.4166666666666667, 0.7962962962962963, 0.3333333333333333]"
QLearn,U_2,0.01,0.5,0.5,0.05,0.6666666666666666,"[0.45454545454545453, 0.782608695652174, 0.16666666666666666]"
QLearn,U_2,0.01,0.6,0.5,0.1,0.66,"[0.375, 0.75, 0.5]"
QLearn,U_2,0.05,0.7,0.5,0.5,0.6842105263157895,"[0.5714285714285714, 0.6923076923076923, 0.8]"
QLearn,U_2,0.05,0.8,0.1,0.2,0.72,"[0.6666666666666666, 0.7222222222222222, 0.75]"
QLearn,U_2,0.05,0.9,0.01,0.5,0.7692307692307693,"[0.5, 0.8, 1.0]"
QLearn,U_20,0.01,0.05,0.5,0.2,0.7007874015748031,"[0.825, 0.6764705882352942, 0.6226415094339622]"
QLearn,U_20,0.1,0.1,0.0001,0.9,0.5384615384615384,"[0.1282051282051282, 0.6206896551724138, 0.8163265306122449]"
QLearn,U_20,0.1,0.2,0.5,0.5,0.7884615384615384,"[0.8333333333333334, 0.5714285714285714, 0.851063829787234]"
QLearn,U_20,0.1,0.3,0.1,0.1,0.8461538461538461,"[0.8888888888888888, 0.631578947368421, 0.9111111111111111]"
QLearn,U_20,0.01,0.4,0.5,0.8,0.7692307692307693,"[0.7142857142857143, 0.47368421052631576, 0.9111111111111111]"
QLearn,U_20,0.01,0.5,0.5,0.9,0.8153846153846154,"[0.5714285714285714, 0.625, 0.9285714285714286]"
QLearn,U_20,0.1,0.6,0.5,0.5,0.8269230769230769,"[0.6, 0.5833333333333334, 0.9428571428571428]"
QLearn,U_20,0.01,0.7,0.1,0.2,0.8974358974358975,"[0.5, 0.7142857142857143, 0.9666666666666667]"
QLearn,U_20,0.05,0.8,0.1,0.9,0.8461538461538461,"[0.5, 0.5714285714285714, 1.0]"
QLearn,U_20,0.01,0.9,0.5,0.1,0.6923076923076923,"[0.5, 0.7142857142857143, 0.75]"
QLearn,U_3,0.01,0.05,0.0001,0.05,0.5227272727272727,"[0.8409090909090909, 0.1388888888888889, 0.5]"
QLearn,U_3,0.01,0.1,0.0001,0.05,0.5121951219512195,"[0.8421052631578947, 0.1111111111111111, 0.75]"
QLearn,U_3,0.1,0.2,0.01,0.9,0.8055555555555556,"[0.8823529411764706, 0.7333333333333333, 0.75]"
QLearn,U_3,0.1,0.3,0.5,0.8,0.71875,"[0.8823529411764706, 0.6666666666666666, 0.0]"
QLearn,U_3,0.1,0.4,0.0001,0.9,0.7777777777777778,"[0.8125, 0.8888888888888888, 0.0]"
QLearn,U_3,0.1,0.5,0.5,0.5,0.6956521739130435,"[0.6666666666666666, 0.6666666666666666, 1.0]"
QLearn,U_3,0.1,0.6,0.1,0.5,0.8333333333333334,"[0.8888888888888888, 0.7142857142857143, 1.0]"
QLearn,U_3,0.01,0.7,0.5,0.5,0.8571428571428571,"[0.8888888888888888, 0.6666666666666666, 1.0]"
QLearn,U_3,0.01,0.8,0.1,0.5,0.8888888888888888,"[0.875, 0, 1.0]"
QLearn,U_3,0.05,0.9,0.1,0.5,0.6,"[0.5, 0, 1.0]"
QLearn,U_4,0.1,0.05,0.1,0.1,0.5316455696202531,"[0.6976744186046512, 0.5421686746987951, 0.28125]"
QLearn,U_4,0.1,0.1,0.5,0.5,0.4520547945205479,"[0.5, 0.4594594594594595, 0.375]"
QLearn,U_4,0.1,0.2,0.1,0.1,0.5692307692307692,"[0.6, 0.5882352941176471, 0.45454545454545453]"
QLearn,U_4,0.1,0.3,0.1,0.1,0.5263157894736842,"[0.47368421052631576, 0.5625, 0.5]"
QLearn,U_4,0.1,0.4,0.1,0.8,0.46938775510204084,"[0.29411764705882354, 0.5925925925925926, 0.4]"
QLearn,U_4,0.1,0.5,0.1,0.5,0.6341463414634146,"[0.7692307692307693, 0.6086956521739131, 0.4]"
QLearn,U_4,0.1,0.6,0.1,0.05,0.6666666666666666,"[0.7272727272727273, 0.6842105263157895, 0.3333333333333333]"
QLearn,U_4,0.05,0.7,0.1,0.1,0.72,"[0.6666666666666666, 0.7647058823529411, 0.5]"
QLearn,U_4,0.1,0.8,0.1,0.2,0.7058823529411765,"[1.0, 0.7142857142857143, 0.5]"
QLearn,U_4,0.1,0.9,0.5,0.8,0.5555555555555556,"[0.0, 0.7142857142857143, 0.0]"
QLearn,U_5,0.01,0.05,0.01,0.05,0.4087301587301587,"[0.20833333333333334, 0.7647058823529411, 0.14705882352941177]"
QLearn,U_5,0.1,0.1,0.1,0.05,0.7264957264957265,"[0.43478260869565216, 0.7291666666666666, 0.8695652173913043]"
QLearn,U_5,0.1,0.2,0.1,0.2,0.8076923076923077,"[0.7619047619047619, 0.7435897435897436, 0.8863636363636364]"
QLearn,U_5,0.1,0.3,0.5,0.9,0.7142857142857143,"[0.7, 0.5172413793103449, 0.8571428571428571]"
QLearn,U_5,0.05,0.4,0.1,0.5,0.7564102564102564,"[0.47058823529411764, 0.6190476190476191, 0.95]"
QLearn,U_5,0.1,0.5,0.01,0.05,0.6307692307692307,"[0.23529411764705882, 0.7142857142857143, 0.8148148148148148]"
QLearn,U_5,0.1,0.6,0.1,0.8,0.7884615384615384,"[0.8, 0.7058823529411765, 0.84]"
QLearn,U_5,0.1,0.7,0.1,0.8,0.8205128205128205,"[0.5, 0.7333333333333333, 0.9090909090909091]"
QLearn,U_5,0.01,0.8,0.1,0.05,0.9615384615384616,"[0, 0.9, 1.0]"
QLearn,U_5,0.01,0.9,0.1,0.2,1.0,"[0, 0, 1.0]"
QLearn,U_6,0.1,0.05,0.1,0.05,0.7165354330708661,"[0.74, 0.5985401459854015, 0.8125]"
QLearn,U_6,0.1,0.1,0.1,0.1,0.6079545454545454,"[0.675, 0.65625, 0.5277777777777778]"
QLearn,U_6,0.01,0.2,0.5,0.5,0.7307692307692307,"[0.7, 0.6545454545454545, 0.8028169014084507]"
QLearn,U_6,0.05,0.3,0.5,0.8,0.6861313868613139,"[0.5789473684210527, 0.5714285714285714, 0.7971014492753623]"
QLearn,U_6,0.1,0.4,0.5,0.5,0.7008547008547008,"[0.631578947368421, 0.6521739130434783, 0.7692307692307693]"
QLearn,U_6,0.1,0.5,0.1,0.5,0.6938775510204082,"[0.5384615384615384, 0.575, 0.8444444444444444]"
QLearn,U_6,0.1,0.6,0.1,0.05,0.7435897435897436,"[0.7272727272727273, 0.6129032258064516, 0.8611111111111112]"
QLearn,U_6,0.01,0.7,0.1,0.5,0.7627118644067796,"[0.6666666666666666, 0.72, 0.84]"
QLearn,U_6,0.1,0.8,0.01,0.2,0.717948717948718,"[0.5714285714285714, 0.6153846153846154, 0.8421052631578947]"
QLearn,U_6,0.1,0.9,0.1,0.5,0.75,"[0.75, 0.6, 0.8181818181818182]"
QLearn,U_7,0.01,0.05,0.0001,0.05,0.5833333333333334,"[0.7894736842105263, 0.7058823529411765, 0.19230769230769232]"
QLearn,U_7,0.01,0.1,0.0001,0.05,0.4888888888888889,"[0.2222222222222222, 0.7391304347826086, 0.23076923076923078]"
QLearn,U_7,0.01,0.2,0.0001,0.05,0.425,"[0.2222222222222222, 0.6666666666666666, 0.23076923076923078]"
QLearn,U_7,0.01,0.3,0.1,0.05,0.4,"[0.2222222222222222, 0.7142857142857143, 0.16666666666666666]"
QLearn,U_7,0.1,0.4,0.01,0.1,0.43333333333333335,"[0.5, 0.5714285714285714, 0.25]"
QLearn,U_7,0.05,0.5,0.1,0.05,0.44,"[0.0, 0.6666666666666666, 0.25]"
QLearn,U_7,0.1,0.6,0.1,0.05,0.6,"[0.0, 0.8, 0.4444444444444444]"
QLearn,U_7,0.1,0.7,0.5,0.8,0.5333333333333333,"[0, 0.5, 0.5555555555555556]"
QLearn,U_7,0.1,0.8,0.1,0.1,0.8,"[0, 0.6666666666666666, 0.8571428571428571]"
QLearn,U_7,0.1,0.9,0.1,0.05,0.6,"[0, 0.6666666666666666, 0.5]"
QLearn,U_8,0.01,0.05,0.0001,0.05,0.63125,"[0.7619047619047619, 0.7835051546391752, 0.21428571428571427]"
QLearn,U_8,0.01,0.1,0.0001,0.05,0.581081081081081,"[0.3, 0.7906976744186046, 0.2857142857142857]"
QLearn,U_8,0.1,0.2,0.1,0.2,0.48484848484848486,"[0.4, 0.6756756756756757, 0.15789473684210525]"
QLearn,U_8,0.1,0.3,0.0001,0.5,0.6551724137931034,"[0.3, 0.7241379310344828, 0.7368421052631579]"
QLearn,U_8,0.1,0.4,0.1,0.05,0.68,"[0.4, 0.72, 0.8]"
QLearn,U_8,0.05,0.5,0.01,0.1,0.5853658536585366,"[0.2222222222222222, 0.6666666666666666, 0.7142857142857143]"
QLearn,U_8,0.01,0.6,0.1,0.1,0.3333333333333333,"[0.2222222222222222, 0.7272727272727273, 0.07692307692307693]"
QLearn,U_8,0.01,0.7,0.5,0.1,0.6,"[0.125, 0.75, 0.8888888888888888]"
QLearn,U_8,0.1,0.8,0.1,0.05,0.6470588235294118,"[0.4, 0.6, 0.8571428571428571]"
QLearn,U_8,0.01,0.9,0.5,0.5,0.8888888888888888,"[0, 0.5, 1.0]"
QLearn,U_9,0.01,0.05,0.01,0.2,0.547945205479452,"[0.2962962962962963, 0.7520661157024794, 0.29545454545454547]"
QLearn,U_9,0.1,0.1,0.01,0.5,0.5445544554455446,"[0.2692307692307692, 0.7090909090909091, 0.45]"
QLearn,U_9,0.1,0.2,0.1,0.1,0.7,"[0.7083333333333334, 0.723404255319149, 0.631578947368421]"
QLearn,U_9,0.1,0.3,0.01,0.1,0.6075949367088608,"[0.6666666666666666, 0.6956521739130435, 0.3333333333333333]"
QLearn,U_9,0.1,0.4,0.1,0.1,0.6029411764705882,"[0.5333333333333333, 0.6578947368421053, 0.5333333333333333]"
QLearn,U_9,0.1,0.5,0.1,0.2,0.6607142857142857,"[0.6153846153846154, 0.7241379310344828, 0.5714285714285714]"
QLearn,U_9,0.01,0.6,0.1,0.05,0.6888888888888889,"[0.7272727272727273, 0.7272727272727273, 0.5833333333333334]"
QLearn,U_9,0.01,0.7,0.1,0.05,0.5,"[0.75, 0.6428571428571429, 0.16666666666666666]"
QLearn,U_9,0.1,0.8,0.01,0.1,0.43478260869565216,"[0.6, 0.6666666666666666, 0.1111111111111111]"
QLearn,U_9,0.1,0.9,0.1,0.9,0.5,"[0.0, 0.75, 0.42857142857142855]"
